"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
">40",5,40,10,10
"19-40",10,5,10,10
"<5",80,5,10,5
"12-18",226.274,14.142,5,56.568
"5-11",80,20,40,10
"5-11",113.137,56.568,40,5
">40",5,5,5,5
"12-18",160,160,80,226.274
"5-11",160,28.284,10,7
"5-11",320,160,40,40
"12-18",320,80,40,10
"<5",640,160,5,160
"5-11",40,7.071,5,5
">40",5,5,10,5
">40",5,5,5,20
"<5",5,5,7.071,80
"<5",5,5,28,160
"12-18",113.137,40,40,10
"12-18",80,56.568,20,160
"12-18",40,10,10,40
"12-18",80,20,14.142,160
"5-11",160,28.284,5,56.568
">40",5,5,5,5
"19-40",10,5,10,20
"12-18",40,160,5,80
"12-18",80,640,5,20
"5-11",160,640,5,40
"<5",5,113.137,5,5
"19-40",5,5,5,5
"<5",5,5,5,5
"5-11",80,40,5,5
"12-18",20,80,5,20
"19-40",5,5,5,5
"<5",80,113.137,10,40
"5-11",20,14.142,5,7.071
"19-40",5,80,5,7.071
"19-40",5,5,20,10
"12-18",80,113.137,14.142,20
">40",160,56.568,20,40
">40",5,40,14.142,20
"12-18",10,80,40,5
"12-18",40,56.568,28.284,20
"19-40",20,56.568,5,10
"5-11",320,160,40,5
">40",5,5,5,40
"19-40",40,40,40,20
"19-40",5,20,10,20
"12-18",40,40,20,10
"12-18",40,160,20,80
">40",80,5,14.142,28.284
">40",5,20,20,10
"12-18",20,80,20,20
"12-18",40,40,10,20
"5-11",320,10,10,5
"<5",160,80,5,40
"<5",320,5,5,40
">40",160,20,10,7.071
"5-11",80,160,40,40
">40",5,28.284,5,5
"19-40",7.071,40,5,113
"12-18",80,905.096,40,113
"12-18",80,160,5,5
"19-40",5,14.142,10,5
"19-40",14,5,113.137,80
"5-11",40,20,5,5
"12-18",160,5,20,20
"12-18",40,20,5,10
"5-11",80,80,7.071,28.284
"5-11",113.137,160,5,5
"5-11",80,452.548,14.142,40
"19-40",20,10,5,14.142
"5-11",40,5,10,5
"5-11",5,5,40,56.568
"<5",5,80,5,5
"19-40",28.284,5,5,20
"19-40",5,5,5,10
"12-18",160,160,20,20
"5-11",80,40,10,40
"5-11",80,5,5,40
"<5",226.274,7.071,5,5
">40",5,28.284,5,5
"5-11",80,160,20,20
"<5",113.137,5,5,5
"19-40",40,5,5,5
"12-18",160,56.568,40,20
"12-18",320,80,20,5
">40",40,5,80,56.568
"19-40",10,40,40,20
"5-11",452.548,640,5,80
"<5",452.548,320,5,80
"19-40",40,40,28,10
"12-18",320,40,14,113.137
"12-18",80,80,20,5
"<5",320,40,5,5
"19-40",40,7.071,20,14.142
"19-40",5,5,14,5
"19-40",20,7.071,5,7.071
"19-40",80,20,20,10
"19-40",5,7.071,5,5
"<5",5,5,10,20
"5-11",5,5,5,10
"5-11",7.071,40,5,5
"19-40",80,5,20,5
"12-18",80,1280,57,80
"12-18",80,80,14,20
"12-18",452.548,80,80,5
"5-11",320,80,80,20
"<5",1280,226.274,5,5
">40",160,5,10,5
">40",10,57,40,28.284
"19-40",40,5,5,5
"<5",226.274,5,5,5
"19-40",160,28.284,5,160
"5-11",80,160,5,80
"19-40",10,5,5,5
"12-18",40,40,5,14.142
"5-11",5,320,5,10
"5-11",80,40,5,7.071
"5-11",160,320,40,80
"<5",5,5,5,5
"12-18",20,20,40,226.274
">40",40,5,5,5
"19-40",5,40,5,5
"12-18",320,80,20,80
"5-11",160,80,80,160
">40",5,20,20,14.142
"12-18",160,28.284,40,40
"12-18",40,40,20,40
"5-11",320,320,5,160
"19-40",20,5,5,28
"19-40",160,40,14.142,40
"5-11",40,56.568,5,5
">40",5,10,40,80
">40",5,20,5,5
"5-11",20,28,80,160
"5-11",80,80,40,10
"19-40",20,640,80,80
"19-40",5,5,5,20
"12-18",28.284,160,80,40
"5-11",160,226.274,160,160
"5-11",40,28.284,20,5
"19-40",5,40,5,10
"19-40",80,56.568,28.284,40
"12-18",320,160,160,40
"12-18",10,14.142,20,5
"<5",10,5,14.142,160
"19-40",640,160,5,160
"12-18",80,160,40,56.568
"5-11",320,160,40,14
"19-40",7.071,5,5,10
"12-18",160,80,5,40
">40",5,28,5,20
"12-18",160,160,80,40
"12-18",80,40,5,80
"5-11",226.274,226,5,113
"19-40",40,20,5,5
"12-18",40,5,5,5
"5-11",226,80,5,80
">40",113.137,5,10,5
">40",40,5,5,10
"5-11",160,5,5,7.071
"<5",320,20,28.284,56.568
"19-40",160,10,40,160
"12-18",1280,10,20,320
"5-11",640,20,40,640
"<5",320,80,10,320
">40",5,80,80,56.568
">40",80,5,14.142,28.284
"19-40",80,160,10,28.284
"12-18",56.568,160,5,5
"19-40",160,40,5,113.137
"12-18",80,80,10,160
"5-11",40,80,5,20
"5-11",5,80,80,5
"5-11",160,80,5,80
"<5",5,160,5,113
"19-40",40,20,80,20
"12-18",160,80,20,113.137
"5-11",113.137,113.137,40,20
"19-40",5,20,7.071,56.568
">40",5,40,5,5
"12-18",320,80,5,160
"5-11",10,20,5,5
"5-11",57,160,5,5
"5-11",320,5,5,5
"<5",160,160,5,5
">40",5,5,20,5
">40",80,20,10,20
"19-40",80,20,5,80
"19-40",28,20,10,40
"12-18",40,320,20,160
