term,estimate,std.error,statistic,df,p.value,lower,upper,group,estimate_int,estlabel
cutoff140Titer>=40,-2.158445031,0.890637618,-2.423482892,64.48494259,0.018188408,0.484969303,3.976268767,A(H1N1)pdm09,2.230619035,2.23 *
age_cat<5,3.328542766,1.254984734,2.652257574,68.51977937,0.009926456,5.257836754,10.17737691,A(H1N1)pdm09,7.717606832,7.72 **
age_cat12-18,1.038318775,1.528559284,0.679279362,70.53107967,0.499184053,2.431406644,8.423359038,A(H1N1)pdm09,5.427382841,5.43
age_cat19-40,0.880420699,1.376657192,0.639535175,69.51430225,0.524576908,2.571236668,7.967732862,A(H1N1)pdm09,5.269484765,5.27
age_cat5-11,2.674643744,1.255018068,2.131159552,67.89279981,0.036699715,4.603872397,9.523543224,A(H1N1)pdm09,7.06370781,7.06 *
sexMale,0.478180227,0.784260562,0.609721119,68.89210895,0.544052399,3.330093593,6.404394994,A(H1N1)pdm09,4.867244293,4.87
cleanhivPositive CD4 <200,1.301750283,3.868906486,0.336464654,66.24177249,0.737584081,-1.892242364,13.27387106,A(H1N1)pdm09,5.690814349,5.69
cleanhivPositive CD4 >=200,0.47236129,1.392020951,0.3393349,66.54526439,0.735426046,2.133064293,7.589786419,A(H1N1)pdm09,4.861425356,4.86
cleanhivUnknown,-0.529413668,2.255814142,-0.234688514,62.2704161,0.815220501,-0.561745319,8.281046116,A(H1N1)pdm09,3.859650399,3.86
cutoff140Titer>=40,0.018593712,0.704247909,0.026402225,117.5937161,0.978981272,3.355047349,6.115699152,A(H3N2),4.73537325,4.74
age_cat<5,4.161838516,1.247309694,3.336652104,119.2745242,0.00113107,6.433891053,11.32334505,A(H3N2),8.878618054,8.88 **
age_cat12-18,0.93449095,1.047582214,0.892045452,117.9425679,0.374184917,3.598009349,7.704531627,A(H3N2),5.651270488,5.65
age_cat19-40,-0.242089073,1.065667947,-0.227171206,119.8639796,0.820677622,2.38598129,6.563399641,A(H3N2),4.474690466,4.47
age_cat5-11,2.643905655,1.017203063,2.5991916,117.2929128,0.010544033,5.366967191,9.354403196,A(H3N2),7.360685194,7.36 *
sexMale,-0.548243434,0.697268155,-0.786273445,110.4153158,0.433391522,2.80189052,5.535181688,A(H3N2),4.168536104,4.17
cleanhivPositive CD4 <200,2.418637871,3.761896648,0.642930441,129.3137628,0.521407623,-0.237900021,14.50873484,A(H3N2),7.135417409,7.14
cleanhivPositive CD4 >=200,0.793740365,1.176961101,0.674398129,117.1444399,0.50138695,3.203676145,7.817363663,A(H3N2),5.510519904,5.51
cleanhivUnknown,-1.309893067,2.713207528,-0.482783957,124.7661959,0.630095163,-1.911000283,8.724773225,A(H3N2),3.406886471,3.41
cutoff140Titer>=40,0.923050587,1.061383363,0.869667472,46.18411862,0.388979706,3.782982724,7.943605507,B/Yamagata,5.863294115,5.86
age_cat<5,3.587282277,1.811289073,1.980513398,48.13524822,0.05337643,4.977399223,12.07765239,B/Yamagata,8.527525805,8.53
age_cat12-18,1.104994233,1.446162088,0.764087403,47.93304925,0.448560247,3.21076007,8.879715454,B/Yamagata,6.045237762,6.05
age_cat19-40,0.003348099,1.638614571,0.00204325,48.17965995,0.998378161,1.731907069,8.155276186,B/Yamagata,4.943591627,4.94
age_cat5-11,2.341605356,1.589684823,1.472999756,47.55260267,0.147339918,4.166066632,10.39763114,B/Yamagata,7.281848884,7.28
sexMale,0.308102691,1.116166728,0.276036441,46.37214792,0.783746566,3.060659432,7.436033008,B/Yamagata,5.24834622,5.25
cleanhivPositive CD4 <200,-0.843241552,2.651712769,-0.317998828,48.48288661,0.751851524,-1.10035505,9.294359003,B/Yamagata,4.097001976,4.1
cleanhivPositive CD4 >=200,-0.669160941,1.383255066,-0.483758172,45.77098581,0.630863976,1.559902659,6.982262516,B/Yamagata,4.271082587,4.27
cleanhivUnknown,0.835507383,2.157742415,0.387213681,46.22168865,0.700375252,1.546575778,10.00492605,B/Yamagata,5.775750911,5.78
cutoff140Titer>=40,0.175808298,0.931530992,0.188730487,148.4741363,0.850561782,3.989721621,7.641323111,B/Victoria,5.815522366,5.82
age_cat<5,4.463946052,1.642605128,2.717601435,156.8944027,0.007315058,6.88415407,13.32316617,B/Victoria,10.10366012,10.1 **
age_cat12-18,-0.024177416,1.686585564,-0.014335126,159.1697872,0.988580568,2.309828945,8.921244357,B/Victoria,5.615536651,5.62
age_cat19-40,-0.360989205,1.547808535,-0.233226008,161.8539306,0.815880607,2.245020133,8.312429591,B/Victoria,5.278724862,5.28
age_cat5-11,1.981545847,1.502308627,1.319000511,160.2142391,0.189051057,4.676735006,10.56578482,B/Victoria,7.621259915,7.62
sexMale,-1.017091155,0.760870172,-1.33674731,152.1108669,0.183301021,3.131317377,6.113928449,B/Victoria,4.622622913,4.62
cleanhivPositive CD4 <200,2.440115989,2.486944561,0.981170239,117.7809729,0.328519942,3.205418717,12.9542414,B/Victoria,8.079830056,8.08
cleanhivPositive CD4 >=200,-0.834010991,1.515094102,-0.550468113,160.3908768,0.582764188,1.836118638,7.775287516,B/Victoria,4.805703077,4.81
cleanhivUnknown,-0.502479112,1.776259156,-0.282886149,160.133193,0.777629458,1.65576701,8.618702901,B/Victoria,5.137234956,5.14
