term,estimate,std.error,statistic,df,p.value,lower,upper,group,estimate_int,estlabel
cutoff140Titer>=40,0.545147423,1.366581199,0.398913305,46.06198526,0.691800492,20.486975,25.8439733,A(H1N1)pdm09,23.16547415,23.17
age_cat<5,-1.041207486,2.027217101,-0.513614198,42.52438708,0.610180279,17.60577372,25.55246476,A(H1N1)pdm09,21.57911924,21.58
age_cat12-18,-0.320425314,2.555773755,-0.125373114,40.42715055,0.900849572,17.29058485,27.30921797,A(H1N1)pdm09,22.29990141,22.3
age_cat19-40,-1.045121307,2.292121997,-0.455962339,41.18708043,0.650812187,17.08264631,26.06776454,A(H1N1)pdm09,21.57520542,21.58
age_cat5-11,-0.798574366,2.048729367,-0.389790071,41.25218461,0.698697057,17.8062428,25.83726192,A(H1N1)pdm09,21.82175236,21.82
sexMale,-2.045561864,1.279915431,-1.598200798,42.65813263,0.117380178,18.06613062,23.08339911,A(H1N1)pdm09,20.57476486,20.57
cleanhivPositive CD4 <200,-1.79075601,5.905920506,-0.3032137,47.57547111,0.76304899,9.253966525,32.40517491,A(H1N1)pdm09,20.82957072,20.83
cleanhivPositive CD4 >=200,1.732177329,2.334339061,0.742041873,37.94229722,0.462630993,19.7771995,28.92780862,A(H1N1)pdm09,24.35250406,24.35
cleanhivUnknown,4.039344201,3.592310608,1.124441799,40.69318675,0.267414877,19.61874214,33.70059972,A(H1N1)pdm09,26.65967093,26.66
cutoff140Titer>=40,0.243139025,0.831141816,0.292536148,69.36320173,0.770750016,17.84773376,21.10580968,A(H3N2),19.47677172,19.48
age_cat<5,-2.289869928,1.420642533,-1.611855111,76.85789805,0.111092697,14.1593034,19.72822213,A(H3N2),16.94376276,16.94
age_cat12-18,-0.197272284,1.17427303,-0.167995244,79.03297583,0.867016177,16.73478527,21.33793555,A(H3N2),19.03636041,19.04
age_cat19-40,-0.449807229,1.261292792,-0.356623959,70.21510775,0.722442806,16.31169159,21.25595933,A(H3N2),18.78382546,18.78
age_cat5-11,-0.464266883,1.171382438,-0.396340996,73.4545182,0.693002523,16.47345623,21.06527539,A(H3N2),18.76936581,18.77
sexMale,0.393943678,0.801193064,0.491696317,69.59788012,0.62448126,18.05723797,21.19791477,A(H3N2),19.62757637,19.63
cleanhivPositive CD4 <200,-2.283556336,4.399285443,-0.519074374,78.44835175,0.605170208,8.327476887,25.57267582,A(H3N2),16.95007636,16.95
cleanhivPositive CD4 >=200,-0.453590189,1.450681479,-0.312673868,62.25412728,0.755573474,15.9367068,21.6233782,A(H3N2),18.7800425,18.78
cleanhivUnknown,0.372547808,3.521579349,0.10578998,58.67407409,0.916109839,12.70388498,26.50847602,A(H3N2),19.6061805,19.61
cutoff140Titer>=40,0.378085925,1.577087427,0.23973682,33.59038985,0.811991231,17.83114926,24.01333197,B/Yamagata,20.92224062,20.92
age_cat<5,-1.845531388,2.776190591,-0.664771141,32.69671422,0.510858689,13.25728975,24.13995686,B/Yamagata,18.6986233,18.7
age_cat12-18,-2.16486093,2.295011287,-0.943289884,30.15361132,0.353029716,13.88107164,22.87751589,B/Yamagata,18.37929376,18.38
age_cat19-40,-0.325055567,2.867041291,-0.11337666,24.560138,0.910653628,14.59969819,25.83850006,B/Yamagata,20.21909913,20.22
age_cat5-11,-2.110884669,2.466863558,-0.855695753,31.42318426,0.398644091,13.59821745,23.2683226,B/Yamagata,18.43327002,18.43
sexMale,0.317451145,1.620040205,0.195952634,35.54223378,0.8457633,17.68632704,24.03688464,B/Yamagata,20.86160584,20.86
cleanhivPositive CD4 <200,-2.950625629,4.224887651,-0.698391501,30.23905455,0.490268871,9.312749267,25.87430886,B/Yamagata,17.59352906,17.59
cleanhivPositive CD4 >=200,0.136120655,2.101927564,0.064759917,31.67524756,0.948772146,16.56049732,24.80005337,B/Yamagata,20.68027535,20.68
cleanhivUnknown,-2.014734769,3.226109197,-0.624509168,33.15707195,0.53656721,12.2062459,24.85259395,B/Yamagata,18.52941992,18.53
cutoff140Titer>=40,0.042281465,0.877505359,0.048183712,82.06216661,0.961686907,19.03883114,22.47865214,B/Victoria,20.75874164,20.76
age_cat<5,-0.613920472,1.566426045,-0.391924326,83.6062835,0.69611137,17.03234466,23.17273475,B/Victoria,20.1025397,20.1
age_cat12-18,-0.139463783,1.58190427,-0.088161962,88.36351652,0.929947447,17.47646402,23.67752876,B/Victoria,20.57699639,20.58
age_cat19-40,-0.675303239,1.571992212,-0.429584341,73.661035,0.668752031,16.9600522,23.12226167,B/Victoria,20.04115694,20.04
age_cat5-11,-0.447756271,1.490116352,-0.3004841,77.60579093,0.764611416,17.34807585,23.18933195,B/Victoria,20.2687039,20.27
sexMale,-0.052828594,0.676035775,-0.078144673,97.70107306,0.937872793,19.33860146,21.9886617,B/Victoria,20.66363158,20.66
cleanhivPositive CD4 <200,-0.564098056,2.339702313,-0.241098217,67.28712691,0.810212158,15.56654558,24.73817865,B/Victoria,20.15236212,20.15
cleanhivPositive CD4 >=200,0.175753616,1.408114455,0.124814865,91.64285865,0.900943502,18.13230946,23.65211812,B/Victoria,20.89221379,20.89
cleanhivUnknown,-0.346508429,1.588983796,-0.218069202,99.57774284,0.827821456,17.25554351,23.48435998,B/Victoria,20.36995175,20.37
