term,estimate,std.error,statistic,df,p.value,lower,upper,group,estimate_log,estlabel
comsmooth,0.637961216,0.060221907,10.59350734,801.4563057,1.24319910551162e-24,1.681903652,2.129732007,A(H1N1)pdm09,1.892618303,1.893 ***
hh_load,0.675008205,0.111584257,6.049313954,2288.613942,1.69442186893311e-09,1.578228572,2.444188947,A(H1N1)pdm09,1.964049091,1.964 ***
titercutofftiter>=40,-1.217773029,0.245373859,-4.962928958,195922.6752,6.94960567863613e-07,0.182920107,0.478623853,A(H1N1)pdm09,0.295888369,0.296 ***
age_cat<5,0.990435223,0.361038241,2.743297279,220978.3507,0.006083049,1.326840126,5.46339382,A(H1N1)pdm09,2.692406014,2.692 **
age_cat5-11,0.620541096,0.35132559,1.766284935,214240.3154,0.077349482,0.934207166,3.702985005,A(H1N1)pdm09,1.859934173,1.86
age_cat12-18,-0.224562273,0.429150235,-0.523271932,243717.1202,0.600785506,0.344487755,1.852566894,A(H1N1)pdm09,0.798865827,0.799
age_cat19-40,-0.713024848,0.400549712,-1.780115742,233601.528,0.07505832,0.223554,1.074711859,A(H1N1)pdm09,0.490159295,0.49
sexMale,0.039218403,0.226654527,0.173031632,221904.9674,0.862626722,0.66696049,1.621677773,A(H1N1)pdm09,1.039997597,1.04
cleanhivPositive CD4 <200,-0.816100112,1.017356004,-0.802177516,254620.4082,0.422451029,0.060197896,3.247604527,A(H1N1)pdm09,0.442152642,0.442
cleanhivPositive CD4 >=200,-0.204544082,0.407258951,-0.502245762,245614.7789,0.615495107,0.366861229,1.810645591,A(H1N1)pdm09,0.815018813,0.815
cleanhivUnknown,0.159077163,0.594814039,0.267440162,252073.8966,0.789130499,0.365401564,3.761856853,A(H1N1)pdm09,1.172428411,1.172
hh_s,-0.061600353,0.059848407,-1.029273055,69439.58926,0.303354967,0.836186813,1.057283121,A(H1N1)pdm09,0.940258583,0.94
comsmooth,0.524085862,0.039642478,13.22031042,1053.372666,4.98625506837427e-37,1.56265548,1.825374404,A(H3N2),1.688914242,1.689 ***
hh_load,0.494825427,0.109010265,4.539255354,2253.381102,5.94242106911206e-06,1.324672564,2.030913205,A(H3N2),1.640211877,1.64 ***
titercutofftiter>=40,-0.431008459,0.183120041,-2.353693546,131782.3756,0.018589388,0.453879407,0.930444194,A(H3N2),0.649853414,0.65 *
age_cat<5,0.616216423,0.321227035,1.918320553,131963.7922,0.055072533,0.986700663,3.47578868,A(H3N2),1.851907933,1.852
age_cat5-11,0.517913277,0.270925169,1.911646967,132249.1799,0.05592365,0.986985378,2.854585385,A(H3N2),1.678521383,1.679
age_cat12-18,0.711027416,0.27513237,2.584310299,132510.5834,0.009758456,1.187402289,3.491344345,A(H3N2),2.036082088,2.036 **
age_cat19-40,0.230031798,0.283662207,0.810935655,132452.2565,0.41740408,0.721844074,2.194621784,A(H3N2),1.258640032,1.259
sexMale,-0.342053222,0.181591049,-1.883645835,131977.7179,0.059615094,0.497593561,1.013961802,A(H3N2),0.7103104,0.71
cleanhivPositive CD4 <200,-0.932683489,1.013672634,-0.920103254,132346.0409,0.357520481,0.05396164,2.869434218,A(H3N2),0.393496349,0.393
cleanhivPositive CD4 >=200,-0.059601883,0.299357281,-0.199099494,132216.4614,0.842185224,0.523958837,1.694077573,A(H3N2),0.942139541,0.942
cleanhivUnknown,-0.659319288,0.713623755,-0.923903224,132127.2557,0.355538392,0.127706343,2.09464329,A(H3N2),0.517203281,0.517
hh_s,-0.033641216,0.025071518,-1.341810087,18217.64496,0.179674305,0.920552366,1.015619691,A(H3N2),0.966918357,0.967
comsmooth,0.669501171,0.057721444,11.59882916,858.3789973,5.3396325562411e-29,1.744324092,2.187228465,B/Yamagata,1.953262733,1.953 ***
hh_load,0.531355271,0.200115984,2.65523653,5213.895158,0.007949379,1.149271131,2.518296295,B/Yamagata,1.701236383,1.701 **
titercutofftiter>=40,-0.432375448,0.2628829,-1.644745431,140730.8162,0.100024553,0.387660264,1.086406038,B/Yamagata,0.648965678,0.649
age_cat<5,1.161575357,0.445758324,2.605841087,140777.2429,0.009165862,1.333609321,7.654254768,B/Yamagata,3.19496252,3.195 **
age_cat5-11,0.543763807,0.427563939,1.271771908,140933.6549,0.203456271,0.745081617,3.982019599,B/Yamagata,1.722477751,1.722
age_cat12-18,1.228617148,0.382599066,3.211239281,139785.8153,0.001321937,1.614011958,7.231968861,B/Yamagata,3.416501752,3.417 **
age_cat19-40,0.252806358,0.405158746,0.623968656,137846.4249,0.532649203,0.581988388,2.848855971,B/Yamagata,1.287633913,1.288
sexMale,-0.313423751,0.268439233,-1.167578031,141443.91,0.242978984,0.431898511,1.237034701,B/Yamagata,0.73094011,0.731
cleanhivPositive CD4 <200,1.402987419,0.625656902,2.242422988,141011.845,0.024935595,1.193272928,13.86371433,B/Yamagata,4.067332662,4.067 *
cleanhivPositive CD4 >=200,0.975626489,0.351093457,2.778822761,140787.6582,0.005456351,1.333068347,5.279174098,B/Yamagata,2.652828658,2.653 **
